# time_s, blanket_inventory_kg, TES_inventory_kg, ISS_inventory_kg,storage_inventory_kg,FW_inventory_kg,div_inventory_kg 
3.669308694708359987e+07,3.157910027799199892e-03,6.374202604022670415e-02,2.679638160881540054e-01,2.177929911212260095e+00,1.505580409469210019e-05,1.469065770665809919e-05
3.670808849565929919e+07,3.345680400652609795e-03,6.373312397911519434e-02,2.677001102355109907e-01,2.169662625635699893e+00,1.601908649088340156e-05,1.565393881781349875e-05
3.672320951361440122e+07,3.395041654682919973e-03,6.375075663890289457e-02,2.678173692502510139e-01,2.168599524460060213e+00,1.597296298865479987e-05,1.560782204668540002e-05
3.673808694708359987e+07,3.157910027798100077e-03,6.374202604022680130e-02,2.679638160881370190e-01,2.179312476493319828e+00,1.505580409469170039e-05,1.469065770665779934e-05
3.675308849565929919e+07,3.345680400654740035e-03,6.373312397911469473e-02,2.677001102355089923e-01,2.171045155035820073e+00,1.601908649088520066e-05,1.565393881781530124e-05
3.676820951361440122e+07,3.395041654683060052e-03,6.375075663890410194e-02,2.678173692502829883e-01,2.169982017694600085e+00,1.597296298865499977e-05,1.560782204668550167e-05
3.678308694708359987e+07,3.157910027796030118e-03,6.374202604022570495e-02,2.679638160880949971e-01,2.180694934145909869e+00,1.505580409468910000e-05,1.469065770665520064e-05
3.679808849565929919e+07,3.345680400654540108e-03,6.373312397911409799e-02,2.677001102355109907e-01,2.172427576810290084e+00,1.601908649088440106e-05,1.565393881781439999e-05
3.681320951361440122e+07,3.395041654683149824e-03,6.375075663890529543e-02,2.678173692503070247e-01,2.171364403306240032e+00,1.597296298865539957e-05,1.560782204668590147e-05
3.682808694708359987e+07,3.157910027796230045e-03,6.374202604022470575e-02,2.679638160880600251e-01,2.182077284178269849e+00,1.505580409468939985e-05,1.469065770665540054e-05
3.684308849565929919e+07,3.345680400655489869e-03,6.373312397911459759e-02,2.677001102355430207e-01,2.173809890967339786e+00,1.601908649088480086e-05,1.565393881781490144e-05
3.685820951361440122e+07,3.395041654683139849e-03,6.375075663890650279e-02,2.678173692503250103e-01,2.172746681303349803e+00,1.597296298865559947e-05,1.560782204668610136e-05
3.687308694708359987e+07,3.157910027795129797e-03,6.374202604022269347e-02,2.679638160880080111e-01,2.183459526598940048e+00,1.505580409468850030e-05,1.469065770665449930e-05
